TSPAN6	TSPAN6
TNMD	TNMD
DPM1	DPM1
SCYL3	SCYL3
C1orf112	C1orf112
FGR	FGR
CFH	CFH
FUCA2	FUCA2
GCLC	GCLC
NFYA	NFYA
STPG1	STPG1
NIPAL3	NIPAL3
LAS1L	LAS1L
ENPP4	ENPP4
SEMA3F	SEMA3F
CFTR	CFTR
ANKIB1	ANKIB1
CYP51A1	CYP51A1
KRIT1	KRIT1
RAD52	RAD52
MYH16	MYH16
BAD	BAD
LAP3	LAP3
CD99	CD99
HS3ST1	HS3ST1
AOC1	AOC1
HECW1	HECW1
MAD1L1	MAD1L1
LASP1	LASP1
SNX11	SNX11
TMEM176A	TMEM176A
M6PR	M6PR
KLHL13	KLHL13
CYP26B1	CYP26B1
ICA1	ICA1
DBNDD1	DBNDD1
ALS2	ALS2
CASP10	CASP10
CFLAR	CFLAR
TFPI	TFPI
NDUFAF7	NDUFAF7
RBM5	RBM5
MTMR7	MTMR7
SLC7A2	SLC7A2
ARF5	ARF5
SARM1	SARM1
POLDIP2	POLDIP2
PLXND1	PLXND1
AK2	AK2
CD38	CD38
FKBP4	FKBP4
KDM1A	KDM1A
RBM6	RBM6
CAMKK1	CAMKK1
RECQL	RECQL
CCDC132	CCDC132
HSPB6	HSPB6
ARHGAP33	ARHGAP33
NDUFAB1	NDUFAB1
PDK4	PDK4
SLC22A16	SLC22A16
ZMYND10	ZMYND10
ARX	ARX
SLC25A13	SLC25A13
ST7	ST7
CDC27	CDC27
CALCR	CALCR
HCCS	HCCS
DVL2	DVL2
PRSS22	PRSS22
UPF1	UPF1
SKAP2	SKAP2
SLC25A5	SLC25A5
CCDC109B	CCDC109B
POLR2J	POLR2J
DHX33	DHX33
MEOX1	MEOX1
THSD7A	THSD7A
LIG3	LIG3
RPAP3	RPAP3
ACSM3	ACSM3
AC004381.6	AC004381.6
CIAPIN1	CIAPIN1
SPPL2B	SPPL2B
FAM214B	FAM214B
COPZ2	COPZ2
PRKAR2B	PRKAR2B
MSL3	MSL3
CREBBP	CREBBP
BZRAP1	BZRAP1
MPO	MPO
PON1	PON1
GCFC2	GCFC2
WDR54	WDR54
CROT	CROT
ABCB4	ABCB4
KMT2E	KMT2E
RHBDD2	RHBDD2
SOX8	SOX8
IBTK	IBTK
ZNF195	ZNF195
MYCBP2	MYCBP2
FBXL3	FBXL3
ITGAL	ITGAL
PDK2	PDK2
ITGA3	ITGA3
ZFX	ZFX
LAMP2	LAMP2
GGNBP2	GGNBP2
ITGA2B	ITGA2B
ASB4	ASB4
GDE1	GDE1
C19orf60	C19orf60
CRLF1	CRLF1
OSBPL7	OSBPL7
TMEM98	TMEM98
YBX2	YBX2
MAP3K14	MAP3K14
ABCC8	ABCC8
CCL18	CCL18
CCL3	CCL3
SYNRG	SYNRG
TMEM132A	TMEM132A
AP2B1	AP2B1
TAC1	TAC1
ZNF263	ZNF263
CX3CL1	CX3CL1
SPATA20	SPATA20
CACNA1G	CACNA1G
TNFRSF12A	TNFRSF12A
MAP3K9	MAP3K9
RALA	RALA
BAIAP2L1	BAIAP2L1
KDM7A	KDM7A
ETV1	ETV1
AGK	AGK
ALDH3B1	ALDH3B1
TTC22	TTC22
PHTF2	PHTF2
CCL26	CCL26
FARP2	FARP2
USH1C	USH1C
GGCT	GGCT
DBF4	DBF4
TBXA2R	TBXA2R
IFRD1	IFRD1
COX10	COX10
GTF2IRD1	GTF2IRD1
PAF1	PAF1
VPS41	VPS41
ARHGAP44	ARHGAP44
